#camion 1
1 2572 16015 2743 20956.0 914 11176 10523.3 10432.6
#pallet 4
1 800 1200 144 25.0 1500
2 1000 1200 144 35.0 1245
3 800 600 144 9.5 750
4 1000 600 144 14.0 500
#productos 14
1 3051 210 140 244 1.38 0 0 1 1 0 0
2 152 152 305 467 24.08 0 0 1 1 0 0
3 200 230 281 371 5.47 0 0 1 1 0 0
4 143 211 300 333 5.93 0 0 1 1 0 0
5 105 205 254 308 11.38 0 0 1 1 0 0
6 9 335 406 500 10.15 0 0 1 1 0 0
7 931 200 251 305 4.35 0 0 1 1 0 0
8 152 225 244 305 5.58 0 0 1 1 0 0
9 205 254 308 508 27.32 0 0 1 1 0 0
10 315 254 260 394 5.42 0 0 1 1 0 0
11 372 198 138 248 3.10 0 0 1 1 0 0
12 205 92 249 330 6.67 0 0 1 1 0 0
13 286 249 305 338 7.33 0 0 1 1 0 0
14 2110 159 292 337 5.55 0 0 1 1 0 0
