#camion 1
1 2489 16015 2591 20729.2 914 11176 10432.6 10296.5 2400 16000 2447
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 15
1 1391 135 213 317 1.75 0 0 1 1391 28  37  11  15 
2 445 167 286 316 1.77 0 0 1 444 18  22  8  10 
3 5902 184 146 198 0.92 0 0 1 5902 32  42  16  20 
4 1786 191 191 254 1.60 0 0 1 1785 24  30  12  15 
5 175 186 180 241 1.52 0 0 1 174 24  30  12  15 
6 338 159 235 311 2.15 0 0 1 338 25  30  11  13 
7 319 135 213 316 1.75 0 0 1 319 28  37  11  15 
8 1359 185 179 238 1.52 0 0 1 1359 24  30  12  15 
9 94 136 278 402 3.24 0 0 1 94 20  28  10  14 
10 613 270 151 197 1.36 0 0 1 613 17  25  7  11 
11 122 124 227 325 1.77 0 0 1 122 30  40  14  19 
12 266 159 179 238 1.32 0 0 1 266 30  38  15  18 
13 459 118 180 241 0.95 0 0 1 459 41  52  20  26 
14 599 171 186 254 1.38 0 0 1 597 24  30  12  15 
15 47 87 213 318 1.11 0 0 1 42 48  60  21  27 
82854381810 82854381810
