#camion 1
1 2489 16015 2591 20729.2 914 11176 10432.6 10296.5 2400 16000 2447
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 10
1 451 136 254 384 1.79 0 0 1 451 24  30  11  14 
2 890 95 203 270 0.68 0 0 1 890 46  56  22  26 
3 1347 144 235 311 1.90 0 0 1 1347 26  33  11  14 
4 894 93 235 311 1.22 0 0 1 894 42  52  17  22 
5 2736 143 227 305 1.90 0 0 1 2736 27  33  11  14 
6 1633 186 203 333 1.82 0 0 1 1633 22  28  10  13 
7 757 191 191 254 1.53 0 0 1 756 24  30  12  15 
8 2161 167 180 241 1.38 0 0 1 2161 26  33  12  15 
9 284 87 241 359 1.41 0 0 1 284 40  53  20  26 
10 205 145 229 308 1.98 0 0 1 205 26  33  11  14 
79498030491 79493691105
