#camion 1
1 2572 16015 2743 20956.0 914 11176 10523.3 10432.6 2400 16000 2599
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 13
1 154 206 254 305 1.79 0 0 1 154 13  18  6  8 
2 290 295 338 406 4.22 0 0 1 290 6  9  2  3 
3 174 174 233 394 1.68 0 0 1 174 21  27  9  12 
4 740 155 292 397 1.90 0 0 1 740 20  24  10  12 
5 174 275 302 348 10.44 0 0 1 174 6  10  2  3 
6 387 208 248 297 4.44 0 0 1 387 13  18  6  8 
7 91 292 206 414 4.28 0 0 1 91 13  17  5  7 
8 178 210 232 298 2.81 0 0 1 178 15  20  6  8 
9 290 249 305 338 3.50 0 0 1 290 9  12  3  4 
10 212 343 400 495 7.12 0 0 1 212 6  6  2  2 
11 943 200 251 305 2.08 0 0 1 943 16  21  8  10 
12 3091 210 140 244 0.66 0 0 1 3091 29  38  14  18 
13 319 254 260 394 2.60 0 0 1 318 12  12  6  6 
83112629020 83112629020
