#camion 1
1 2572 16015 2743 20956.0 914 11176 10523.3 10432.6 2400 16000 2599
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 11
1 337 197 260 308 7.65 0 0 1 337 16  21  8  10 
2 290 289 200 343 8.43 0 0 1 290 15  19  7  9 
3 3374 210 140 244 1.45 0 0 1 3374 29  38  14  18 
4 190 174 233 394 3.67 0 0 1 189 21  27  9  12 
5 89 294 303 405 28.52 0 0 1 89 6  10  2  3 
6 348 318 400 495 10.88 0 0 1 348 6  9  2  3 
7 506 254 155 248 4.53 0 0 1 506 21  27  9  11 
8 691 86 211 279 5.40 0 0 1 691 48  61  21  27 
9 2333 159 292 337 5.80 0 0 1 2332 20  24  10  12 
10 227 92 249 330 6.97 0 0 1 227 37  46  17  21 
11 411 198 138 248 3.25 0 0 1 411 32  41  16  20 
91273385538 78269116752
