#camion 1
1 2489 16015 2591 20729.2 914 11176 10432.6 10296.5 2400 16000 2447
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 11
1 429 168 203 335 3.38 0 0 1 429 22  28  10  13 
2 737 157 160 394 6.08 0 0 1 737 35  42  15  18 
3 507 285 220 395 7.08 0 0 1 507 13  15  5  6 
4 445 341 254 711 14.62 0 0 1 445 8  10  4  5 
5 20 254 198 398 8.85 0 0 1 20 18  21  9  10 
6 1678 146 153 387 6.08 0 0 1 1678 38  46  18  22 
7 276 286 248 324 10.50 0 0 1 276 8  12  4  6 
8 369 136 203 335 2.27 0 0 1 369 28  37  11  15 
9 70 191 220 395 4.47 0 0 1 70 21  26  8  10 
10 1072 260 220 395 7.08 0 0 1 1072 15  18  6  7 
11 78 227 244 318 7.70 0 0 1 78 13  18  6  8 
77216865906 72151302876
